"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"144","9","","Mecole Hardman","KC","WR57","10","80","223","151.1","28.8","132.0","-12.0"
"145","9","","Jalen Reagor","PHI","WR58","9","75","343","145.1","46.4","139.0","-6.0"
"146","9","","Curtis Samuel","CAR","WR59","13","81","231","152.8","28.2","192.0","+46.0"
"147","9","","Zack Moss","BUF","RB50","11","84","318","145.7","33.3","123.0","-24.0"
"148","9","","N'Keal Harry","NE","WR60","6","99","273","154.3","26.8","165.0","+17.0"
"149","9","","Kirk Cousins","MIN","QB21","7","91","249","151.4","25.3","163.0","+14.0"
"150","9","","Eric Ebron","PIT","TE19","8","92","246","155.4","21.6","153.0","+3.0"
"151","10","","Blake Jarwin","DAL","TE20","10","69","282","156.9","33.0","167.0","+16.0"
"152","10","","DeSean Jackson","PHI","WR61","9","74","223","157.9","32.7","152.0","0.0"
"153","10","","San Francisco (SF)","","DST1","11","121","322","147.7","25.9","112.0","-41.0"
"154","10","","Jimmy Garoppolo","SF","QB22","11","114","241","157.3","21.2","157.0","+3.0"
"155","10","","Boston Scott","PHI","RB51","9","89","272","154.2","33.0","133.0","-22.0"
"156","10","","Pittsburgh (PIT)","","DST2","8","139","230","148.7","12.0","122.0","-34.0"
"157","10","","Ian Thomas","CAR","TE21","13","134","260","163.6","25.2","220.0","+63.0"
"158","10","","Philip Rivers","IND","QB23","7","114","284","166.0","27.4","169.0","+11.0"
"159","10","","Drew Lock","DEN","QB24","8","103","252","166.5","23.4","160.0","+1.0"
"160","10","","Baltimore (BAL)","","DST3","8","131","202","153.7","9.0","125.0","-35.0"
"161","10","","Gardner Minshew II","JAC","QB25","7","103","254","168.9","26.3","176.0","+15.0"
"162","10","","Chase Edmonds","ARI","RB52","8","110","277","170.8","30.4","168.0","+6.0"
"163","10","","Chris Herndon IV","NYJ","TE22","11","108","299","174.2","33.4","193.0","+30.0"
"164","10","","Hunter Renfrow","LV","WR62","6","74","286","174.4","34.1","199.0","+35.0"
"165","10","","Dede Westbrook","JAC","WR63","7","86","244","171.8","27.4","215.0","+50.0"
"166","10","","Larry Fitzgerald","ARI","WR64","8","97","231","174.0","31.7","181.0","+15.0"
"167","10","","Buffalo (BUF)","","DST4","11","145","215","165.9","14.3","127.0","-40.0"
"168","10","","Michael Pittman Jr.","IND","WR65","7","64","353","169.6","47.5","151.0","-17.0"
"169","10","","Adrian Peterson","WAS","RB53","8","98","283","177.6","28.7","202.0","+33.0"
"170","10","","Jamaal Williams","GB","RB54","5","104","315","178.3","36.2","174.0","+4.0"
"171","10","","New England (NE)","","DST5","6","140","234","166.7","20.1","134.0","-37.0"
"172","10","","Allen Lazard","GB","WR66","5","92","336","183.8","40.8","204.0","+32.0"
"173","10","","Justin Jackson","LAC","RB55","10","96","312","178.6","34.6","154.0","-19.0"
"174","10","","Parris Campbell","IND","WR67","7","128","242","185.2","24.1","209.0","+35.0"
"175","10","","Harrison Butker","KC","K1","10","120","242","175.9","9.3","141.0","-34.0"
"176","10","","Teddy Bridgewater","CAR","QB26","13","116","275","184.3","32.7","177.0","+1.0"
"177","10","","Justin Tucker","BAL","K2","8","148","207","175.7","6.3","145.0","-32.0"
"178","10","","Chicago (CHI)","","DST6","11","140","230","172.5","19.1","150.0","-28.0"
"179","10","","Brandon Aiyuk","SF","WR68","11","82","347","176.8","45.6","170.0","-9.0"
"180","10","","Sam Darnold","NYJ","QB27","11","131","275","186.5","30.6","211.0","+31.0"
"181","10","","Corey Davis","TEN","WR69","7","122","242","187.3","28.1","232.0","+51.0"
"182","10","","Irv Smith Jr.","MIN","TE23","7","136","291","190.0","32.6","208.0","+26.0"
"183","10","","Wil Lutz","NO","K3","6","172","214","185.7","6.7","161.0","-22.0"
"184","10","","James Washington","PIT","WR70","8","122","290","192.0","24.4","239.0","+55.0"
"185","11","","New Orleans (NO)","","DST7","6","140","230","186.6","19.8","171.0","-14.0"
"186","11","","Derek Carr","LV","QB28","6","117","318","196.5","35.4","212.0","+26.0"
"187","11","","Denzel Mims","NYJ","WR71","11","81","336","188.6","41.2","197.0","+10.0"
